hasCode	code	url
Yes	marktext-_-marktext.txt	https://github.com/marktext/marktext/blob/develop/.github/CODE_OF_CONDUCT.md
Yes	fastify-_-fastify.txt	https://github.com/fastify/fastify/blob/main/CODE_OF_CONDUCT.md
Yes	parse-community-_-parse-server.txt	https://github.com/parse-community/parse-server/blob/master/CODE_OF_CONDUCT.md
No	null	null
Yes	fabricjs-_-fabric.js.txt	https://github.com/fabricjs/fabric.js/blob/master/CODE_OF_CONDUCT.md
No	null	null
No	null	null
Yes	eslint-_-eslint.txt	https://github.com/eslint/.github/blob/master/CODE_OF_CONDUCT.md
Yes	quasarframework-_-quasar.txt	https://github.com/quasarframework/quasar/blob/dev/.github/CODE_OF_CONDUCT.md
Yes	jhipster-_-generator-jhipster.txt	https://github.com/jhipster/generator-jhipster/blob/main/CODE_OF_CONDUCT.md
No	null	null
No	null	null
Yes	snowpackjs-_-snowpack.txt	https://github.com/snowpackjs/snowpack/blob/main/CODE_OF_CONDUCT.md
Yes	Popmotion-_-popmotion.txt	https://github.com/Popmotion/popmotion/blob/master/CODE_OF_CONDUCT.md
No	null	null
No	null	null
No	null	null
No	null	null
Yes	portainer-_-portainer.txt	https://github.com/portainer/portainer/blob/develop/CODE_OF_CONDUCT.md
No	null	null
No	null	null
No	null	null
No	null	null
Yes	electron-react-boilerplate-_-electron-react-boilerplate.txt	https://github.com/electron-react-boilerplate/electron-react-boilerplate/blob/master/CODE_OF_CONDUCT.md
No	null	null
No	null	null
No	null	null
Yes	popperjs-_-popper-core.txt	https://github.com/popperjs/.github/blob/master/CODE_OF_CONDUCT.md
No	null	null
Yes	winstonjs-_-winston.txt	https://github.com/winstonjs/winston/blob/master/CODE_OF_CONDUCT.md
Yes	facebook-_-flux.txt	https://github.com/facebook/flux/blob/master/CODE_OF_CONDUCT.md
Yes	sideway-_-joi.txt	https://github.com/sideway/.github/blob/master/CODE_OF_CONDUCT.md
Yes	julianshapiro-_-velocity.txt	https://github.com/julianshapiro/velocity/blob/master/CODE_OF_CONDUCT.md
Yes	jgraph-_-drawio-desktop.txt	https://github.com/jgraph/drawio-desktop/blob/master/CODE_OF_CONDUCT.md
No	null	null
No	null	null
No	null	null
No	null	null
Yes	angular-_-material.txt	https://github.com/angular/.github/blob/master/CODE_OF_CONDUCT.md
No	null	null
No	null	null
Yes	remoteintech-_-remote-jobs.txt	https://github.com/remoteintech/remote-jobs/blob/master/CODE_OF_CONDUCT.md
No	null	null
No	null	null
No	null	null
No	null	null
Yes	chalk-_-chalk.txt	https://github.com/chalk/chalk/blob/main/code-of-conduct.md
Yes	twitter-_-typeahead.js.txt	https://github.com/twitter/.github/blob/main/code-of-conduct.md
Yes	Kong-_-insomnia.txt	https://github.com/Kong/insomnia/blob/develop/CODE_OF_CONDUCT.md
No	null	null
No	null	null
No	null	null
Yes	framework7io-_-framework7.txt	https://github.com/framework7io/framework7/blob/master/CODE_OF_CONDUCT.md
Yes	DIYgod-_-RSSHub.txt	https://github.com/DIYgod/RSSHub/blob/master/CODE_OF_CONDUCT.md
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
Yes	hubotio-_-hubot.txt	https://github.com/hubotio/hubot/blob/master/CODE_OF_CONDUCT.md
No	null	null
Yes	statsd-_-statsd.txt	https://github.com/statsd/statsd/blob/master/CODE_OF_CONDUCT.md
No	null	null
No	null	null
Yes	facebook-_-relay.txt	https://github.com/facebook/relay/blob/master/.github/CODE_OF_CONDUCT.md
No	null	null
Yes	dropzone-_-dropzone.txt	https://github.com/dropzone/dropzone/blob/main/CODE_OF_CONDUCT.md
No	null	null
No	null	null
No	null	null
No	null	null
Yes	processing-_-p5.js.txt	https://github.com/processing/p5.js/blob/main/CODE_OF_CONDUCT.md
No	null	null
No	null	null
